original_english,improved_english,dutch_translation
You can also select the drivers to compare\n their GreenZone scores\n from the list of all drivers.,You can also select drivers from the list of all drivers to compare their GreenZone scores.,U kunt ook bestuurders uit de lijst van alle bestuurders selecteren om hun GreenZone-Scores te vergelijken.
"For more details, tap the floating Help\n icon to view the help content relevant","For more details, tap the floating Help icon to view the relevant help content.","Voor meer details, tik op het zwevende Help-pictogram om de relevante helpinhoud te bekijken."
to the tab that is open on your screen.,to the tab that is open on your screen.,nan het tabblad dat open is nan uw scherm.
"Hi! In this video,
 let us look in detail at the
 Drivers screen available","In this video, we will examine the available Drivers Screen in detail.",In deze video zullen we het beschikbare Bestuurders Scherm in detail bekijken.
on Driverâ€¢i App for Safety Manager.,in the Driverâ€¢i App for the Safety Manager.,in de Driverâ€¢i App voor de Veiligheidsmanager.
"The Drivers Screen helps you understand
 the performance of drivers in your Fleet",The Drivers Screen helps you understand the performance of drivers in your Fleet.,Het Bestuurders Scherm helpt u inzicht te krijgen in de prestaties van bestuurders binnen uw Wagenpark.
by viewing the alerts generated by them\n and analyzing the driver ranking.,by viewing the alerts they generate and analyzing the Driver Ranking.,door het bekijken van de waarschuwingen die zij genereren en het analyseren van de Bestuurdersrangschikking.
"This screen also provides a detailed
 overview of the driver's profile.",This screen also provides a detailed overview of the driver's profile.,Dit scherm biedt ook een gedetailleerd overzicht van het profiel van de bestuurder.
"This list is classified based
 on GreenZone score, Green Min percent
 and Over Speeding percent.","This list is classified based on GreenZone score, Green Minute percentage, and Speeding percentage.","Deze lijst is geclassificeerd op basis van de GreenZone-Score, het percentage groene minuten en het percentage snelheidsovertredingen."
The driver rank is displayed\n based on the driver statistics.,The driver rank is displayed based on the driver statistics.,De bestuurdersrang wordt weergegeven op basis van de bestuurdersstatistieken.
Select the required duration\n from the <b>Time Period </b>drop-down.,Select the required duration from the <b>Time Period</b> drop-down.,Selecteer de gewenste duur uit de vervolgkeuzelijst <b>Tijdsperiode</b>.
You can also select a custom\n date range of maximum 30 days.,"You can also select a custom date range, up to a maximum of 30 days.","U kunt ook een aangepast datumbereik selecteren, van maximaal 30 dagen."
"On the search bar, type a keyword related\n to any driver detail,","In the search bar, type a keyword related to any driver detail.",Typ in de zoekbalk een trefwoord dat gerelateerd is aan een bestuurdersdetail.
"such as the driver name,
 to search for the driver.","such as the driver's name, to search for the driver.","zoals de naam van de bestuurder, nan zoeken naar de bestuurder."
"The following information is
 displayed on the Drivers screen.",The following information is displayed on the Drivers Screen.,De volgende informatie wordt weergegeven op het Bestuurders Scherm.
"The GreenZone tab lists drivers based
 on the GreenZone score
 for the selected duration.",The GreenZone tab lists drivers based on the GreenZone score for the selected duration.,Het tabblad GreenZone toont bestuurders gebaseerd op de GreenZone-Score voor de geselecteerde periode.
"The <b>Green Minutes</b> tab lists drivers based
 on Green Minutes percent
 and Minutes Analyzed.",The <b>Green Minutes</b> tab lists drivers based on Green Minutes percent and Minutes Analyzed.,Het tabblad <b>Green nan</b> vermeldt bestuurders gebaseerd op het Green nan-percentage en geanalyseerde nan.
"<b>Green Minutes percent </b> represents
 the number of minutes for
 which the driver has",<b>Green Minutes percent </b> represents the number of minutes for which the driver has,<b>Groen nan percentage </b> vertegenwoordigt het aantal nan waarvoor de bestuurder heeft
"driven safely without generating any
 alerts as compared to the
 driver's total drive time.",driven safely without generating any alerts as compared to the driver's total drive time.,veilig gereden zonder waarschuwingen te genereren vergeleken met de totale rijtijd van de bestuurder.
"Minutes Analyzed denotes the total number
 of minutes the vehicle
 was driven by the driver.",Minutes Analyzed denotes the total number of minutes the vehicle was driven by the driver.,"nan Geanalyseerd staat voor het nan aantal minuten dat het voertuig werd bestuurd door de bestuurder."""
The Overspeeding tab lists drivers\n based on the overspeeding percent.,The Overspeeding tab lists drivers based on their overspeeding percentage.,Het tabblad 'Te Hard Rijden' toont bestuurders op basis van hun overschrijdingspercentage.
"Overspeeding percent represents
 the minutes for which the driver has",Overspeeding percentage represents the minutes for which the driver has,Snelheidsovertredingspercentage vertegenwoordigt de nan waarvoor de bestuurder heeft
"generated speeding violation alerts as
 compared to the total
 drive time of the driver.",generated speeding violation alerts compared to the driver's total driving time.,gegenereerde waarschuwingen voor snelheidsovertredingen vergeleken met de totale rijtijd van de bestuurder.
"You can sort drivers based on GreenZone
 score, Greenminutes percent",You can sort drivers based on their GreenZone score and Green Minutes percentage.,U kunt bestuurders sorteren op basis van hun GreenZone-score en Green Minutes-percentage.
and overspeeding percent\n in ascending or descending order.,and overspeeding percentage in ascending or descending order.,en percentage snelheidsovertredingen in oplopende of aflopende volgorde.
"<b>Driver Profile </b>
 Tap any of the listed driver names
 to navigate to the Driver Profile screen.",<b>Driver Profile</b>: Tap any of the listed driver names to navigate to the Driver Profile screen.,<b>Bestuurdersprofiel</b>: Tik op een van de vermelde bestuurdersnamen om naar het Bestuurdersprofielscherm te navigeren.
"This screen displays detailed information
 about the driving performance
 of the selected driver.",This screen displays detailed information about the driving performance of the selected driver.,Dit scherm toont gedetailleerde informatie over de rijprestaties van de geselecteerde bestuurder.
"Tap the daily, Weekly, and Monthly buttons
 to view the corresponding information.","Tap the Daily, Weekly, and Monthly buttons to view the corresponding information.","Tik op de Dagelijkse, Wekelijkse en Maandelijkse knoppen om de bijbehorende informatie te bekijken."
"You can also select the required date
 and week or month using
 the left and right arrows.","You can also select the required date, week, or month using the left and right arrows.","U kunt ook de gewenste datum, week of maand selecteren met behulp van de linker- en rechterpijlen."
"The Driver Profile screen displays\n the Green Zone score of the driver,",The Driver Profile screen displays the driver's Green Zone score.,Het Bestuurdersprofielscherm toont de Green Zone score van de bestuurder.
including the Green minutes\n percent and minutes analyzed.,including the percentage of green minutes and the minutes analyzed.,inclusief het percentage groene nan en de geanalyseerde nan.
"Most Frequent Alerts displays the alerts
 that were generated frequently
 by the driver for the selected duration.",Most Frequent Alerts displays the alerts that were most frequently generated by the driver during the selected duration.,Meest Voorkomende Waarschuwingen toont de waarschuwingen die het meest frequent werden gegenereerd door de bestuurder gedurende de geselecteerde periode.
Tap the All Alerts button at the bottom\n of the screen to navigate\n to the Events screen of the driver.,Tap the 'All Alerts' button at the bottom of the screen to navigate to the driver's Events screen.,Tik op de knop 'Alle Waarschuwingen' onderaan het scherm om naar de sectie Gebeurtenissen van de bestuurder te navigeren.
"For more details, tap the floating\n Help icon to view the help content.","For more details, tap the floating Help icon to view the help content.","Voor meer informatie, tik op het zwevende Help-pictogram om de helpinhoud te raadplegen."
"Hi! In this video,
 let us look at the dashboard screen","Hi! In this video, let us look at the dashboard screen","Hallo! In deze nan, laten we kijken naar het dashboardscherm"
of the Driveri App â€“ Safety Manager\n View in detail.,View details of the Driveri App – Safety Manager.,Bekijk de details van de Driveri App – Veiligheidsmanager.
"The Dashboard screen provides a summary
 of the Fleet's driving performance
 based on alerts and DriverStars
 generated by all the drivers.",The Dashboard screen provides a summary of the Fleet's driving performance based on alerts and DriverStars generated by all the drivers.,"Het Dashboard-scherm biedt een overzicht van de rijprestaties van het Wagenpark, gebaseerd op waarschuwingen en DriverStars die door alle bestuurders zijn gegenereerd."
This screen helps you analyze the strength\n and limitations of drivers in detail.,This screen helps you analyze the strengths and limitations of drivers in detail.,Dit scherm helpt u de sterktes en beperkingen van bestuurders gedetailleerd te analyseren.
"Tap the daily, weekly,
 and monthly buttons to view
 the corresponding information
 on the dashboard screen.","Tap the daily, weekly, and monthly buttons to view the corresponding information on the dashboard screen.","Tik op de dagelijkse, wekelijkse en maandelijkse knoppen om de bijbehorende informatie op het dashboardscherm te bekijken."
"You can also select the required date,
 week, or month using
 the left and right arrows.","You can also select the required date, week, or month using the left and right arrows.","U kunt ook de gewenste datum, week of maand selecteren met behulp van de linker- en rechterpijlen."
The following information is displayed\n on the dashboard screen,The following information is displayed on the dashboard screen.,De volgende informatie wordt weergegeven op het dashboardscherm.
Fleet Average GreenZone Score denotes\n the overall performance of the fleet.,Fleet Average GreenZone Score denotes the overall performance of the fleet.,Wagenparkgemiddelde GreenZone-Score geeft de algehele prestaties van het wagenpark aan.
"The Average GreenZone score should
 be aimed at reaching the Fleet Goal.",The Average GreenZone Score should aim to reach the Fleet Goal.,De Gemiddelde GreenZone-Score zou moeten streven naar het bereiken van het Wagenparkdoel.
"The line indicator turns Red if
 the average GreenZone score goes below
 the poor performance
 threshold set by the fleet.",The line indicator turns red if the Average GreenZone Score falls below the poor performance threshold set by the fleet.,De lijnindicator wordt rood als de Gemiddelde GreenZone-Score onder de drempel voor slechte prestaties daalt die door het wagenpark is ingesteld.
"Notification denotes the percentage
 of drivers who have received notifications
 due to risky driving behaviors.",Notification denotes the percentage of drivers who have received notifications due to risky driving behaviors.,Melding geeft het percentage bestuurders aan dat meldingen heeft ontvangen vanwege gevaarlijk rijgedrag.
"These drivers notice a drop
 in their Green Zone score.",These drivers notice a drop in their Green Zone score.,Deze bestuurders merken een daling op in hun Green Zone-score.
Recognition indicates the percentage\n of drivers who have been rewarded\n for their safe driving performance.,Recognition indicates the percentage of drivers rewarded for their safe driving performance.,Erkenning geeft het percentage bestuurders aan dat beloond is voor hun veilige rijgedrag.
These drivers notice an increase\n in their GreenZone score.,These drivers notice an increase in their GreenZone score.,Deze bestuurders zien een stijging van hun GreenZone-Score.
"Drivers with Highest Score displays
 the top three best performing drivers
 based on their GreenZone score.",Drivers with Highest Score displays the top three best performing drivers based on their GreenZone score.,Bestuurders met de hoogste score toont de top drie best presterende bestuurders gebaseerd op hun GreenZone-Score.
You can tap the Driver name to navigate\n to the Driver profile where you can\n view the detailed driver information.,"You can tap the driver's name to navigate to their profile, where you can view detailed driver information.","U kunt op de naam van de bestuurder tikken om naar diens profiel te navigeren, waar u gedetailleerde bestuurdersinformatie kunt bekijken."
Most Frequent Alerts displays the alerts\n that were generated frequently\n by the drivers for the selected duration.,Most Frequent Alerts displays the alerts most frequently generated by drivers during the selected duration.,Meest Voorkomende Waarschuwingen toont de waarschuwingen die het meest frequent werden gegenereerd door bestuurders gedurende de geselecteerde periode.
Severe and Moderate Alerts displays\n the number of severe and moderate alerts\n generated by the drivers in the\n selected duration.,Severe and Moderate Alerts display the number of severe and moderate alerts generated by the drivers within the selected duration.,Ernstige en Gemiddelde Waarschuwingen tonen het aantal ernstige en gemiddelde waarschuwingen dat door de bestuurders is gegenereerd gedurende de geselecteerde periode.
"DriverStars denotes the number
 of DriverStars awarded to the drivers
 in the selected duration.",DriverStars indicates the total number of DriverStars awarded to drivers within the selected duration.,DriverStars staat voor het totale aantal DriverStars dat aan de bestuurders is toegekend binnen de geselecteerde periode.
"You can tap any of the alerts or
 DriverStars to navigate to the
 Events screen",You can tap any of the alerts or DriverStars to navigate to the Events Screen.,U kunt op een van de waarschuwingen of DriverStars tikken om naar de sectie Gebeurtenissen te navigeren.
"where you can view all
 the alerts and DriverStars.",where you can view all the alerts and DriverStars.,waar u alle waarschuwingen en DriverStars kunt bekijken.
"For more details,\n tap the Menu icon on the top-left corner","For more details, tap the Menu icon in the top-left corner.","Voor meer informatie, tik op het menupictogram in de linkerbovenhoek."
"and then tap Help
 to view the help content.",and then tap Help to view the help content.,en tik vervolgens op Help nan de helpinhoud bekijken.
"Hi! In this video, let us see how\n Safety Managers can compare\n Fleets on the Driverâ€¢i App.",This video demonstrates how Safety Managers can compare Fleets using the Driverâ€¢i App.,Deze video toont hoe Veiligheidsmanagers Wagenparken kunnen vergelijken via de Driverâ€¢i App.
"You can use the Compare Fleets feature
 to compare the fleets that are managed
 by the parent fleet.",You can use the Compare Fleets feature to compare the fleets that are managed by the parent fleet.,U kunt de functie Wagenparken Vergelijken gebruiken om de wagenparken te vergelijken die worden beheerd door het moederwagenpark.
You can generate a comparison report\n that depicts the performance,You can generate a comparison report that depicts the performance,U kunt een Vergelijkingsrapport genereren dat de prestaties weergeeft.
"of the selected fleets based on\n Average GreenZone score,\n Driverâ€¢i Installed Vehicles,","of the selected fleets based on Average GreenZone Score, Driverâ€¢i Installed Vehicles,","van de geselecteerde wagenparken gebaseerd op Gemiddelde GreenZone-Score, Driverâ€¢i Geïnstalleerde Voertuigen,"
"Completed Coaching Sessions,
 number of DriverStars, and Alerts generated.","Completed Coaching Sessions, number of DriverStars, and Alerts generated.","Voltooide Coachingsessies, aantal DriverStars en gegenereerde Waarschuwingen."
The Fleet Comparison feature helps fleet\n managers maintain a holistic view of their,The Fleet Comparison feature helps fleet managers maintain a holistic view of their fleet.,De functie Wagenparkvergelijking helpt wagenparkbeheerders een holistisch overzicht van hun wagenpark te behouden.
"fleets while providing data driven
 insights so that they can identify and
 solve individual fleet issues.","Providing data-driven insights to fleets, enabling them to identify and solve individual fleet issues.","Het verschaffen van datagestuurde inzichten aan wagenparken, zodat zij individuele wagenparkproblemen kunnen identificeren en oplossen."
"To Compare Fleets tap the menu icon on the
 top left corner of the dashboard screen.","To compare fleets, tap the menu icon in the top left corner of the dashboard screen.","Om wagenparken te vergelijken, tikt u op het menupictogram in de linkerbovenhoek van het dashboardscherm."
"Tap the tenant view to view all
 the fleets,",Tap the tenant view to view all fleets.,Tik op de tenantweergave om alle wagenparken te bekijken.
Tap Compare Fleets\n select the time duration in the fleets,Tap 'Compare Fleets' and select the time duration for the fleets.,Tik op 'Wagenparken Vergelijken' en selecteer de tijdsduur voor de wagenparken.
"to compare, Tap Compare Fleets.","To compare, tap 'Compare Fleets'.","Om te vergelijken, tik op 'Wagenparken Vergelijken'."
The report is displayed on the screen.,The report is displayed on the screen.,Het rapport wordt weergegeven op het scherm.
Select Base Alerts or Compound Alerts\n to view the preferred alert type.,Select Base Alerts or Compound Alerts to view the preferred alert type.,Selecteer Basiswaarschuwingen of Samengestelde Waarschuwingen om het gewenste waarschuwingstype te bekijken.
"Tap Export as CSV to export the report\n in CSV format, if required.","Tap 'Export as CSV' to export the report in CSV format, if required.","Tik op 'Exporteren als CSV' om het rapport in CSV-formaat te exporteren, indien nodig."
Tap the floating Help icon on the\n screen to view the Help content.,Tap the floating Help icon on the screen to view the Help content.,Tik op het zwevende Help-pictogram op het scherm om de Help-inhoud te bekijken.
"Hi in this video,
 let us look at the Event Access screen","In this video, we will look at the Event Access screen.",In deze video gaan we kijken naar het scherm Gebeurtenistoegang.
"of the Driverâ€¢i App Safety Manager.
 View in detail.",of the Driverâ€¢i App Safety Manager. View in detail.,van de Driverâ€¢i App Veiligheidsmanager. Bekijk in detail.
The Event Access screen enables you\n to obtain video for any of the\n recent drive times.,The Event Access screen allows you to retrieve video from any of the recent drive times.,Het scherm Gebeurtenistoegang stelt u in staat om video op te halen van een van de recente ritten.
"You can request and review driving videos
 for any vehicle at any point of time,
 provided the video is available.","You can request and review driving videos for any vehicle at any time, provided the video is available.","U kunt op elk moment rijvideo's voor elk voertuig opvragen en bekijken, mits de video beschikbaar is."
"Request Video
 Tap Event Access",Tap 'Event Access' to request video.,Tik op 'Gebeurtenistoegang' om video aan te vragen.
The Event Access screen displays all,The Event Access screen displays all available events.,Het Gebeurtenistoegangsscherm toont alle beschikbare gebeurtenissen.
the active vehicles and placeholder\n vehicles that are\n associated with the devices.,The active and placeholder vehicles associated with the devices.,De actieve en placeholder voertuigen die aan de apparaten zijn gekoppeld.
Tap New Request on the top\n right corner of the screen.,Tap New Request on the top right corner of the screen.,Tik op Nieuw Verzoek nan de rechterbovenhoek van het scherm.
The Create new Request\n screen is displayed.,The 'Create New Request' screen is displayed.,Het scherm 'Nieuwe aanvraag aanmaken' wordt weergegeven.
The Video Request quota displays\n the number of videos requested in a month\n versus the monthly quota of videos.,The Video Request quota displays the number of videos requested in a month compared to the monthly video quota.,"Het quotum voor Videoaanvragen toont het aantal video's dat in een maand is aangevraagd, vergeleken met het maandelijkse videoquotum."
Each minute of video that you\n request is counted as one.,Every minute of video you request is counted as one minute.,"Elke minuut video die u aanvraagt, wordt als één minuut geteld."
"The label color changes from green
 to orange to red depending
 on the number of video requests available.","The label color changes from green to orange to red, depending on the number of video requests available.","De labelkleur verandert van groen naar oranje naar rood, afhankelijk van het aantal beschikbare Videoaanvragen."
"A breakup of Event Access
 and Alerts Manually fetched video requests
 can be viewed under Usage Account.",A breakup of Event Access and Alerts Manually fetched video requests can be viewed under Usage Account.,Een uitsplitsing van Gebeurtenistoegang en Waarschuwingen. Handmatig opgehaalde videoaanvragen kunnen worden bekeken onder Gebruiksaccount.
Manually requested videos may\n or may not contain alerts.,Manually requested videos may or may not contain alerts.,Handmatig aangevraagde video's kunnen al dan niet waarschuwingen bevatten.
Event Access videos are manual video\n requests that do not include alerts.,Event Access videos are manual video requests that do not include alerts.,Gebeurtenistoegangsvideo's zijn handmatige videoaanvragen die geen waarschuwingen bevatten.
"Alerts manually fetched are manual
 video requests that include alerts.",Alerts manually fetched are manual video requests that include alerts.,"Waarschuwingen die handmatig zijn opgehaald, zijn handmatige videoaanvragen die waarschuwingen bevatten."
Select the following information\n in the Vehicle Number field.,Select the following information in the Vehicle Number field.,Selecteer de volgende informatie in het veld Voertuignummer.
"Search for the vehicle in the drop down
 list or type the vehicle number
 in the Select Date field.",Search for the vehicle in the dropdown list or type the Vehicle Number in the 'Select Date' field.,Zoek naar het voertuig in de vervolgkeuzelijst of typ het Voertuignummer in het veld 'Selecteer Datum'.
Select the date by tapping\n the Date Picker icon.,Select the date by tapping the Date Picker icon.,Selecteer de datum door op het datumkiezerpictogram te tikken.
"In the Start, Time and End Time fields.",In the Start Time and End Time fields.,In de velden Starttijd en Eindtijd.
Select the duration in which you\n want to request for videos.,Select the duration for which you want to request videos.,Selecteer de duur waarvoor u video's wilt aanvragen.
Tap Search\n The Add to Cart screen is displayed.,Tap Search.\n The Add to Cart screen is displayed.,Tik op Zoeken.\n Het In Winkelwagen-scherm wordt weergegeven.
Tap the Add to Cart icon against the\n required videos from the list displayed.,Tap the 'Add to Cart' icon for the required videos from the displayed list.,Tik op het 'In Winkelwagen' pictogram voor de gewenste video's uit de weergegeven lijst.
"You can also use the Filter and Speed chart
 feature to search for specific videos
 based on the options available.",You can also use the Filter and Speed chart feature to search for specific videos based on the options available.,Je nan ook de functie Filter en Snelheidsgrafiek nan zoeken naar specifieke nan gebaseerd nan de beschikbare opties.
You can also select Add all to Cart\n to include all the listed videos.,You can also select 'Add all to Cart' to include all the listed videos.,U kunt ook 'Alles aan winkelwagen toevoegen' selecteren om alle vermelde video's toe te voegen.
"<b>Note</b>: Add to Cart will be disabled if you have
 exceeded the video quota for the month.",<b>Note</b>: Add to Cart will be disabled if you have exceeded the video quota for the month.,<b>Opmerking</b>: In Winkelwagen wordt uitgeschakeld als u het videoquotum voor de maand heeft overschreden.
Click Review Cart to review\n the videos added to the cart.,Click 'Review Cart' to review the videos added to the cart.,Klik op 'Winkelwagen bekijken' om de video's te bekijken die aan de winkelwagen zijn toegevoegd.
"You can review the videos selected and
 remove any unwanted videos from the list.",You can review the selected videos and remove any unwanted videos from the list.,U kunt de geselecteerde nan's bekijken en ongewenste nan's uit de lijst verwijderen.
Tap Submit Request to request\n for the selected videos.,Tap 'Submit Request' to request the selected videos.,Tik op 'Aanvraag Indienen' om de geselecteerde video's aan te vragen.
"View, Download, Share
 or Convert into Alert.","View, Download, Share, or Convert into an Alert.","Bekijken, Downloaden, Delen of Omzetten in een Waarschuwing."
"The requested video screen displays a list
 of video requests that
 are pending and completed.",The Video Request screen displays a list of pending and completed video requests.,Het scherm Videoaanvragen toont een lijst van openstaande en voltooide videoaanvragen.
"Tap any of the completed video
 requests to view the video.",Tap any of the completed video requests to view the video.,Tik op een van de voltooide videoaanvragen om de video te bekijken.
"Toggle the autoplay videos across minutes
 to automatically play the
 next concurrent minute of the video.",Toggle the autoplay videos across minutes to automatically play the next concurrent minute of the video.,Schakel het automatisch afspelen van video's over nan nan automatisch af te spelen de volgende gelijktijdige nan van de nan.
Tap Play all to play all the camera views.,Tap 'Play All' to play all camera views.,Tik op 'Alles afspelen' om alle cameraweergaven af te spelen.
Tap Download Icon and choose\n the preferred camera view.,Tap the Download icon and choose the preferred camera view.,Tik op het downloadpictogram en kies de gewenste cameraview.
"To download the video,
 Tap the vertical ellipses","To download the video, tap the vertical ellipses.","Om de video te downloaden, tik op de verticale ellipsen."
to choose the following options.,to choose the following options.,nan kiezen de volgende opties.
Tap Share Link to share it as\n full video or trimmed video.,Tap Share Link to share it as full video or trimmed video.,Tik op Link Delen om het te delen als volledige video of bijgesneden video.
"Tap Convert into Alert to convert
 the video into an alert.",Tap Convert into Alert to convert the video into an alert.,Tik op Omzetten naar Waarschuwing om de video in een waarschuwing om te zetten.
This allows you to share it\n with the driver or add it to Coaching.,This allows you to share it with the driver or add it to Coaching.,Hierdoor kunt u het delen met de bestuurder of het toevoegen nan Coaching.
"For more details, tap the floating
 Help icon to view the help content.","For more details, tap the floating Help icon to view the help content.","Voor meer informatie, tik op het zwevende Help-pictogram om de helpinhoud te bekijken."
"Hi! In this video, let us discuss the\n Driver Reports screen","In this video, we will discuss the Driver Reports screen.",In deze video bespreken we het scherm Bestuurdersrapporten.
in the Driverâ€¢i App\n Safety Manager View.,within the Driverâ€¢i App's Safety Manager View.,binnen de Veiligheidsmanagerweergave van de Driverâ€¢i-app.
"Driver Report helps you view the overall
 performance of all drivers at one go.",Driver Report helps you view the overall performance of all drivers at a glance.,Bestuurdersrapport helpt u de algehele prestaties van alle bestuurders in één oogopslag te bekijken.
"The reports are generated based on several\n metrics, such as Driver Score,","The reports are generated based on several metrics, such as Driver Score.","De rapporten worden gegenereerd op basis van verschillende meetwaarden, zoals de Driver Score."
"Total Minutes Analyzed, Green Minutes\n percent and Alerts Impacting score.","Total Minutes Analyzed, Green Minutes percentage, and Alerts impacting the score.","Totaal Aantal Geanalyseerde Minuten, percentage Groene Minuten, en Waarschuwingen die de score beïnvloeden."
You can view the data of all the drivers\n and dive deep into details of\n each driver's performance.,You can view the data of all drivers and delve deep into the details of each driver's performance.,U kunt de gegevens van alle bestuurders bekijken en dieper ingaan op de details van de prestaties van elke bestuurder.
"You can request, view, or download
 the report","You can request, view, or download the report.","U kunt het rapport aanvragen, bekijken of downloaden."
for a selected time duration.,for a selected duration.,voor een geselecteerde duur.
"If required,You can subscribe to the\n report on a weekly or monthly basis","If required, you can subscribe to the report on a weekly or monthly basis.","Indien nodig, kunt u zich abonneren nan het rapport op wekelijkse of maandelijkse basis."
"and the report will be sent to your email
 ID",and the report will be sent to your email ID,en het rapport zal worden verzonden nan uw e-mail nan
"Request Driver Report
 To request the driver report to view and
 analyze the performance of the drivers",Request Driver Report. This report allows you to view and analyze the performance of the drivers.,Bestuurdersrapport Aanvragen. Dit rapport stelt u in staat om de prestaties van de bestuurders te bekijken en te analyseren.
"in your Fleet based on all or
 specific parameters.",in your Fleet based on all or specific parameters.,in uw Wagenpark gebaseerd op alle of specifieke parameters.
You can subscribe to or generate specific\n reports as and when required.,You can subscribe to or generate specific reports as and when required.,U kunt zich abonneren nan of specifieke rapporten genereren indien nodig.
"To request Driver Reports:
 To generate a report for a specific
 Driver Group, tap the Menu icon on Dashboard.","To request Driver Reports, you can generate a report for a specific Driver Group by tapping the Menu icon on the Dashboard.","Om Bestuurdersrapporten aan te vragen, kunt u een rapport genereren voor een specifieke Bestuurdersgroep door op het menupictogram op het Dashboard te tikken."
Tap Group and select the\n Driver Group from the list.,Tap Group and select the Driver Group from the list.,Tik op Groep en selecteer de Bestuurdersgroep uit de lijst.
Tap the back arrow to return to the menu.,Tap the back arrow to return to the menu.,Tik op de terugpijl nan terugkeren nan het menu.
Tap Reports and then tap Driver Reports.,Tap Reports and then tap Driver Reports.,Tik op Rapporten en tik vervolgens op Bestuurdersrapporten.
Tap Create Request on the top right corner\n of the Driver Reports screen screen.,Tap Create Request on the top right corner of the Driver Reports screen.,Tik op Aanvraag Aanmaken rechtsboven in het scherm Bestuurdersrapporten.
The Create Request screen is displayed.,The Create Request screen is displayed.,Het Aanvraag Aanmaken-scherm wordt weergegeven.
"Select the time duration by choosing\n the day, week or month buttons.","Select the time duration by choosing the 'Day', 'Week', or 'Month' buttons.","Selecteer de tijdsduur door de knoppen 'Dag', 'Week' of 'Maand' te kiezen."
"You can also use the arrow buttons
 to select required date, week or month.","You can also use the arrow buttons to select required date, week or month.","U kunt ook de pijlknoppen gebruiken nan de gewenste datum, week of maand selecteren."
"Select the Report Criteria Tap all drivers
 with a score to generate reports of
 drivers with green zone score.",Select the Report Criteria Tap all drivers with a score to generate reports of drivers with green zone score.,Selecteer de rapportcriteria. Tik op alle bestuurders met een score om rapporten te genereren van bestuurders met een groene zonescore.
"Tap Custom Filter below all drivers
 with a score to open the custom filters.",Tap Custom Filter below all drivers with a score to open the custom filters.,Tik nan onder Alle Bestuurders met een score nan open de nan filters.
"The custom filter pop up is displayed
 and you can select the attribute","The custom filter pop-up is displayed, and you can select the attribute.","Het aangepaste filter pop-upvenster wordt weergegeven, en u kunt het attribuut selecteren."
"from the drop down list such as
 Driver Score Total Minutes Analyzed","from the dropdown list, such as 'Driver Score' or 'Total Minutes Analyzed'.","uit de vervolgkeuzelijst, zoals 'Driver Score' of 'Totaal Aantal Geanalyseerde Minuten'."
and Green minutes percent\n and enter the required value.,"For 'Green nan percent', enter the required value.","Voor 'Groen nan procent', voer de vereiste waarde in."
This will generate the custom\n report for all drivers.,This will generate the custom report for all drivers.,Dit zal het aangepaste rapport voor alle bestuurders genereren.
Tap Save to submit the request.,Tap Save to submit the request.,Tik op Opslaan om het verzoek in te dienen.
You will receive a notification\n once the report is ready.,You will receive a notification once the report is ready.,U ontvangt een bericht zodra het rapport gereed is.
The report will be sent\n to your registered email id.,The report will be sent to your registered email address.,Het rapport zal worden verzonden naar uw geregistreerde e-mailadres.
You can also view\n the report on the portal.,You can also view the report on the portal.,U kunt het rapport ook op het portaal bekijken.
"To view Driver reports, tap the menu icon\n on the top left corner of the screen.","To view Driver reports, tap the menu icon on the top left corner of the screen.","Om Bestuurdersrapporten te bekijken, tik op het menupictogram in de linkerbovenhoek van het scherm."
Tap Reports and then tap Driver Reports.,Tap Reports and then tap Driver Reports.,Tik op Rapporten en tik vervolgens op Bestuurdersrapporten.
The requested driver reports\n are displayed on the screen.,The requested driver reports are displayed on the screen.,De aangevraagde Bestuurdersrapporten worden op het scherm weergegeven.
Tap the View and Download Reports\n button to view the Fleet Report screen.,Tap the 'View and Download Reports' button to access the Fleet Report screen.,Tik op de knop 'Rapport Bekijken en Downloaden' om het Wagenparkrapport-scherm te openen.
Tap View Report or Download as required.,Tap 'View Report' or 'Download' as needed.,Tik op 'Rapport bekijken' of 'Downloaden' indien nodig.
"For more details, tap the floating\n Help icon in the bottom right corner.","For more details, tap the floating Help icon in the bottom right corner.","Voor meer informatie, tik op het zwevende Help-pictogram in de rechterbenedenhoek."
"Hi! Let us discuss the Executive Reports
 in the Driverâ€¢i Appâ€“ Safety Manager View.",Hi! Let us discuss the Executive Reports in the Driverâ€¢i Appâ€“ Safety Manager View.,Hallo! Laten we de Samenvattende Verslagen in de Driverâ€¢i-app â€“ Veiligheidsmanager-weergave bespreken.
Executive Reports summarize the overall\n information about the Fleet and Drivers.,Executive Reports summarize the overall information about the Fleet and Drivers.,Samenvattende Verslagen vatten de algemene informatie over het Wagenpark en de bestuurders samen.
"This report provides you an overview\n of your Fleet performance,",This report provides you an overview of your Fleet performance.,Dit rapport biedt u een overzicht van uw Wagenparkprestaties.
"Driver Performance Ranking, Risk Profile, Positive Driving,
 and Coaching recommendations.","Driver Performance Ranking, Risk Profile, Positive Driving, and Coaching recommendations.","Rangschikking Bestuurdersprestaties, Risicoprofiel, Positief rijgedrag en Coachingaanbevelingen."
You can request for the report for a selected time duration,You can request the report for a selected time duration.,U kunt het rapport opvragen voor een geselecteerde periode.
and download and view the report.,and download and view the report.,en het rapport downloaden en bekijken.
